County,Year,Total population,Male Total population,Female Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,
"Crittenden County, Arkansas",2009,52199,24780,27419,4437,4437,3811,4124,3654,3706,3341,3602,3341,3811,3497,2714,2453,1827,1096,992,835,522,
"Cross County, Arkansas",2009,18801,9107,9694,1316,1203,1485,1372,1128,1109,1147,1090,1429,1354,1260,1166,1128,752,564,470,508,338,
"Dallas County, Arkansas",2009,8214,3886,4328,583,501,616,534,427,452,435,427,641,452,690,616,501,378,370,238,181,164,
"Desha County, Arkansas",2009,13737,6520,7217,1044,1140,852,962,934,797,728,673,879,989,1017,934,783,577,412,385,330,330,
"Drew County, Arkansas",2009,18699,9154,9545,1197,1197,1253,1627,1328,1552,1272,711,1515,1309,1272,1066,954,673,654,430,318,411,
"Faulkner County, Arkansas",2009,104468,50976,53492,7208,7208,6895,10969,12745,6373,6477,7104,7208,6895,5955,5119,4179,3134,2403,2089,1567,1149,
"Franklin County, Arkansas",2009,18037,8730,9307,1046,1136,1389,1515,974,1010,992,685,1587,1263,1245,1136,992,776,758,559,703,271,
"Fulton County, Arkansas",2009,11700,5625,6075,585,761,679,679,620,538,527,632,667,842,842,866,889,772,644,456,339,363,
"Garland County, Arkansas",2009,96285,46891,49394,5681,5392,5681,5585,5007,5392,5007,5681,5873,6740,6644,7221,6259,5681,5103,4044,3177,2407,
"Grant County, Arkansas",2009,17544,8716,8828,965,982,1368,1386,1035,1053,1088,1281,1316,1474,1263,1088,965,561,754,456,281,246,
"Greene County, Arkansas",2009,40190,19749,20441,2813,2653,2853,2612,2411,2853,2773,2733,2934,2773,2612,2411,2130,1608,1407,1125,804,683,
"Hempstead County, Arkansas",2009,23094,11585,11509,1663,1501,1732,1778,1524,1409,1593,1386,1617,1593,1593,1293,1132,924,808,485,439,624,
"Hot Spring County, Arkansas",2009,31621,15789,15832,1897,2245,1834,2150,1708,2245,2024,2308,1802,2277,2340,2277,1802,1328,1170,980,759,538,
"Howard County, Arkansas",2009,14253,6964,7289,1055,998,1026,1069,784,812,755,812,1197,1097,983,784,812,570,485,328,285,413,
"Independence County, Arkansas",2009,34462,16929,17533,2378,2240,2206,2309,2033,2033,2033,2274,2274,2585,2481,2378,1895,1482,1344,1103,586,724,
"Izard County, Arkansas",2009,13086,6682,6404,680,707,680,759,628,746,667,733,903,942,942,890,981,838,759,628,340,275,
"Jackson County, Arkansas",2009,17038,8261,8777,1125,971,937,1090,1176,1227,1176,1056,1329,1193,1295,1090,1039,716,511,494,375,290,
"Jefferson County, Arkansas",2009,79698,39196,40502,5579,5101,5499,6216,5898,5659,4622,4941,5260,5818,5818,5180,3826,2949,2232,1992,1833,1355,
"Johnson County, Arkansas",2009,24576,12114,12462,1892,1647,1696,1647,1622,1671,1696,1376,1769,1769,1475,1475,1303,1106,713,664,492,541,
"Lafayette County, Arkansas",2009,7715,3801,3914,347,555,447,640,501,363,363,285,625,602,555,617,417,309,401,309,224,139,
"Lawrence County, Arkansas",2009,16912,8220,8692,1065,1133,981,1201,1015,1065,913,1032,1015,1235,1116,1065,1015,913,592,778,389,423,
"Lee County, Arkansas",2009,10776,5932,4844,614,571,722,722,927,711,851,539,948,744,679,722,528,420,334,356,194,216,
"Lincoln County, Arkansas",2009,13753,8067,5686,660,619,825,1403,1100,1004,1073,1031,1210,894,908,798,495,454,413,440,248,206,
"Little River County, Arkansas",2009,12921,6368,6553,698,724,917,1008,775,530,736,866,866,827,969,1047,827,633,543,362,323,284,
"Logan County, Arkansas",2009,22550,11275,11275,1376,1646,1556,1511,1173,1240,1263,1285,1646,1646,1533,1488,1353,1128,902,744,541,519,
"Lonoke County, Arkansas",2009,63424,31378,32046,4503,5074,4820,4567,3742,4503,4313,4630,5264,4884,3869,3425,2854,2283,1649,1268,825,825,
"Madison County, Arkansas",2009,15478,7788,7690,929,1269,898,1006,929,789,820,1053,960,1285,1099,1083,836,789,604,449,371,279,
"Marion County, Arkansas",2009,16581,8212,8369,730,912,912,962,763,597,713,763,1161,1244,1260,1277,1525,1260,895,862,448,265,
"Miller County, Arkansas",2009,42971,20940,22031,2965,3094,2707,2879,2707,3352,2750,2750,2922,3051,3051,2406,2449,1719,1289,1160,816,988,
"Mississippi County, Arkansas",2009,46778,22404,24374,3836,3602,3602,3415,2947,3181,3041,2760,3181,3321,3228,2900,2058,1637,1357,1123,842,702,
"Monroe County, Arkansas",2009,8606,3972,4634,534,525,611,749,370,404,327,439,577,654,671,559,568,465,353,284,267,250,
"Montgomery County, Arkansas",2009,9064,4381,4683,499,544,653,589,353,372,372,562,562,707,653,725,607,616,435,399,245,163,
"Nevada County, Arkansas",2009,9324,4592,4732,615,550,587,942,466,364,448,699,522,541,876,793,410,373,392,280,186,289,
"Newton County, Arkansas",2009,8311,4236,4075,432,432,507,640,399,449,399,424,573,648,673,640,640,449,374,249,183,208,
"Ouachita County, Arkansas",2009,26016,12352,13664,1769,1717,1561,1769,1535,1353,1249,1431,1769,1977,2133,1925,1431,1171,989,1015,624,598,
"Perry County, Arkansas",2009,10294,5112,5182,566,669,659,762,515,618,618,566,834,896,659,731,576,463,432,422,196,124,
"Phillips County, Arkansas",2009,22002,10103,11899,1958,1606,1958,1738,1342,1386,1078,968,1364,1474,1496,1276,1188,880,792,484,506,550,
"Pike County, Arkansas",2009,10763,5361,5402,613,603,796,796,592,667,667,689,646,700,732,570,732,527,463,441,269,248,
"Poinsett County, Arkansas",2009,24865,11974,12891,1691,1790,1741,1666,1392,1666,1517,1666,1616,1716,1765,1492,1542,1119,821,746,572,373,
"Polk County, Arkansas",2009,20140,9913,10227,1309,1390,1249,1349,987,1047,987,1088,1370,1450,1410,1470,1309,1047,1007,644,544,463,
"Pope County, Arkansas",2009,58963,29054,29909,3892,3774,3833,5248,4658,4304,3420,3479,4127,4186,3833,3302,2948,2123,2005,1651,1120,943,
"Prairie County, Arkansas",2009,8776,4338,4438,456,535,483,509,702,377,465,456,623,623,720,667,527,544,316,351,193,237,
"Pulaski County, Arkansas",2009,375518,179692,195826,28915,26286,24033,23658,25535,30041,26662,25535,24409,27413,27037,22907,18400,13143,10139,8637,7510,6384,
"Randolph County, Arkansas",2009,18058,8808,9250,1192,1047,1192,1282,957,1156,903,1174,1138,1228,1264,1120,1228,758,885,686,542,325,
"St. Francis County, Arkansas",2009,26769,13612,13157,2008,1954,1927,1874,1660,1820,1874,1553,1794,2061,1927,1767,1258,910,830,562,535,455,
"Saline County, Arkansas",2009,95000,47194,47806,5605,7030,5985,6080,5320,6270,6555,7125,7125,7505,6745,5605,5700,3705,3515,2470,1710,950,
"Scott County, Arkansas",2009,11170,5544,5626,681,793,793,860,804,503,469,693,827,760,693,704,637,693,480,279,290,246,
"Searcy County, Arkansas",2009,8002,3944,4058,432,536,400,536,264,464,424,344,560,536,640,544,672,448,416,248,288,232,
"Sebastian County, Arkansas",2009,121325,59186,62139,9706,8857,8129,8007,7765,8493,7765,7765,8857,8735,8371,7886,5460,4732,3276,2912,2548,2063,
"Sevier County, Arkansas",2009,16516,8215,8301,1586,1288,1305,1206,1007,1123,1007,1371,1007,974,974,859,776,529,495,363,446,198,
"Sharp County, Arkansas",2009,17689,8483,9206,955,867,1185,1079,725,884,831,938,1185,1203,1203,1274,1256,1044,1132,796,584,548,
