County,Year,Total population,Male Total population,Female Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,
"Jefferson County, Mississippi",2016,7743,3942,3801,333,434,341,379,286,341,364,256,426,426,557,767,743,550,712,263,225,348,
"Chautauqua County, Kansas",2016,3826,1906,1920,207,253,256,222,180,153,184,203,145,195,279,325,302,275,241,210,119,80,
"Lincoln County, Idaho",2016,5292,2692,2600,392,471,540,418,265,286,360,323,376,275,302,323,296,238,148,69,90,116,
"Madison County, Idaho",2016,38114,19220,18894,3850,2592,2477,4536,8842,4116,1906,1296,1410,1182,1296,1296,953,800,572,457,152,343,
"Minidoka County, Idaho",2016,20331,10251,10080,1626,1870,1362,1423,1383,1179,1159,1342,976,1098,1281,1403,1139,1057,712,569,366,407,
"Nez Perce County, Idaho",2016,39995,19821,20174,2400,2240,2400,2440,2800,2680,2440,2240,2120,2400,2720,2960,2560,2280,1760,1280,1120,1160,
"Valley County, Nebraska",2016,4269,2153,2116,269,393,333,367,243,81,231,273,209,175,269,307,303,273,166,171,85,128,
"Owyhee County, Idaho",2016,11356,5826,5530,761,886,874,874,602,613,625,795,568,647,795,727,738,579,522,363,148,250,
"Gu·nica Municipio, Puerto Rico",2016,22773,11394,11379,1549,1754,1708,1640,1321,1230,1344,1002,1526,1571,1480,1207,1594,1412,843,797,478,364,
"Forest County, Pennsylvania",2016,7696,3932,3764,731,462,854,531,539,439,323,416,431,431,523,485,416,339,316,231,100,131,
"Shoshone County, Idaho",2016,12551,6287,6264,653,741,615,741,653,628,565,590,766,803,954,1180,979,929,640,552,264,301,
"Holt County, Nebraska",2016,10437,5375,5062,835,1033,668,637,470,543,856,1012,898,804,658,626,553,365,209,63,146,63,
"Twin Falls County, Idaho",2016,80955,39915,41040,6234,6719,5991,5424,5181,5586,5667,4614,4776,4453,5019,4776,4453,3724,2833,2267,1538,1538,
"Valley County, Idaho",2016,9897,5121,4776,465,515,515,564,386,327,267,525,930,574,722,940,1049,831,594,267,327,89,
"Washington County, Idaho",2016,10035,4975,5060,472,733,682,652,512,462,472,421,642,522,692,712,743,672,662,522,211,261,
"Adams County, Illinois",2016,66949,32663,34286,4084,4352,4285,3950,4151,4084,3950,3816,3816,4218,4753,5088,3950,3682,2678,2544,1674,1875,
"Alexander County, Illinois",2016,7051,3462,3589,501,479,479,374,416,374,465,345,360,388,501,536,515,416,360,190,183,183,
"New Kent County, Virginia",2016,17137,8736,8401,857,891,1028,1114,1302,1011,960,1200,977,1165,1302,1234,1234,840,720,668,291,343,
"Boone County, Illinois",2016,53656,26951,26705,3112,3595,4722,4185,3327,2683,3005,3434,3702,4185,3702,3756,2844,2522,1932,1019,1019,805,
"Fulton County, Kentucky",2016,6836,4420,2416,280,280,314,328,649,656,622,602,479,479,499,438,308,287,185,171,89,157,
"Bureau County, Illinois",2016,33822,16657,17165,1759,2266,2097,2097,1826,1623,1962,1894,1995,2165,2503,2503,2435,1826,1725,1251,1048,913,
"Calhoun County, Illinois",2016,4962,2496,2466,258,243,347,298,253,223,228,263,278,347,377,402,323,323,278,228,179,119,
"Carroll County, Illinois",2016,14793,7366,7427,754,784,799,843,784,666,828,636,888,843,1109,1198,1243,1050,888,473,592,414,
"Little River County, Arkansas",2016,13068,6638,6430,836,915,902,849,732,771,823,706,954,862,902,915,797,666,431,418,327,287,
"Champaign County, Illinois",2016,206420,103115,103305,11560,10940,10321,21055,34059,16720,13830,11560,10527,10115,11147,11353,10527,7225,5367,4128,2890,3303,
"Christian County, Illinois",2016,33888,17274,16614,1762,2067,2033,1999,1999,1999,1966,2169,1966,2338,2575,2508,2237,1898,1389,1118,813,1051,
"Clark County, Illinois",2016,16089,7840,8249,965,981,1046,998,901,869,917,949,901,1078,1239,1110,1078,692,917,611,322,483,
"Buffalo County, Wisconsin",2016,13466,6642,6824,794,754,943,781,821,687,754,633,862,821,1023,983,1064,835,525,458,350,364,
"Clinton County, Illinois",2016,37858,19639,18219,2120,2158,2385,2196,2309,2536,2726,2423,2347,2612,2953,2574,2461,1893,1287,1098,833,909,
"Coles County, Illinois",2016,52802,25466,27336,2482,2799,2587,4594,7762,3802,3063,2799,2534,2799,3221,3591,2799,2376,1848,1637,1003,1056,
"Cook County, Illinois",2016,5227575,2535190,2692385,334565,324110,324110,329337,365930,433889,412978,360703,345020,339792,350248,334565,292744,219558,156827,115007,88869,94096,
"Paulding County, Ohio",2016,19441,10046,9395,991,1011,1089,1205,1186,1244,1244,1147,1322,1264,1439,1361,1361,1128,719,680,525,486,
"Swift County, Minnesota",2016,10890,5473,5417,653,566,860,675,566,566,664,686,588,697,795,849,751,643,446,381,218,261,
"DeKalb County, Illinois",2016,104458,51767,52691,6163,6059,6790,9715,14937,7834,6476,5118,6476,5954,6267,6059,4805,3760,2716,1776,1671,1776,
"De Witt County, Illinois",2016,16322,8188,8134,914,1045,963,947,865,816,1012,1126,898,1126,1273,1371,1045,849,800,539,310,441,
"Douglas County, Illinois",2016,19770,9743,10027,1305,1226,1661,1246,1206,1206,1147,1364,1068,1147,1344,1384,1265,949,692,633,395,534,
"DuPage County, Illinois",2016,930514,456361,474153,54900,60483,62344,64205,58622,57692,60483,58622,62344,66997,72580,67928,57692,42804,29776,19541,15819,17680,
"Edgar County, Illinois",2016,17828,8730,9098,981,1123,1052,1034,927,945,1034,1070,1052,1034,1355,1355,1284,1177,767,570,428,660,
"Edwards County, Illinois",2016,6612,3270,3342,397,410,443,383,377,324,350,383,403,430,463,496,469,443,258,258,172,159,
"Effingham County, Illinois",2016,34356,17210,17146,2199,1993,2508,2302,2130,2130,2164,2096,1752,2130,2611,2405,2199,1821,1237,1065,790,825,
"Fayette County, Illinois",2016,22025,11670,10355,1233,1233,1410,1322,1586,1454,1366,1299,1432,1454,1652,1630,1233,1101,837,793,418,551,
"Sumter County, Alabama",2016,13758,6783,6975,743,1004,825,881,702,674,770,784,812,839,1046,1128,853,715,578,440,413,550,
"Franklin County, Illinois",2016,39503,19434,20069,2291,2528,2331,2449,2212,2331,2173,2410,2410,2568,2726,3002,2449,2528,1778,1343,1027,988,
"Fulton County, Illinois",2016,36047,18804,17243,1838,2019,2091,2091,2163,2163,2199,2415,2307,2343,2631,2451,2595,2127,1514,1226,865,1081,
"Gallatin County, Illinois",2016,5325,2512,2813,320,320,346,245,288,256,288,261,373,320,373,410,330,410,298,224,165,107,
"Greene County, Illinois",2016,13390,6774,6616,683,857,790,844,777,710,790,790,844,897,1018,1111,817,803,522,495,268,375,
"Grundy County, Illinois",2016,50338,25173,25165,3222,3775,3725,3524,2970,2819,3473,3423,3624,3574,3675,3473,2567,2265,1560,1057,755,805,
"Hamilton County, Illinois",2016,8251,4046,4205,454,437,635,487,437,404,495,479,470,512,586,561,635,487,388,330,198,264,
"Hancock County, Illinois",2016,18633,9267,9366,969,1193,1043,1062,950,894,969,1025,950,1155,1416,1453,1379,1304,950,689,596,671,
"Hardin County, Illinois",2016,4173,2126,2047,142,142,300,263,213,108,225,417,225,325,371,325,371,238,221,125,96,67,
"Henderson County, Illinois",2016,6966,3417,3549,341,313,390,425,362,307,341,230,432,453,578,557,606,557,348,334,167,216,
"Lamar County, Texas",2016,49681,24692,24989,2732,2881,3577,3478,2633,2385,2881,3031,2732,3279,3676,3974,3229,3031,2087,1590,1242,1242,
"Iroquois County, Illinois",2016,28814,14042,14772,1556,1729,1902,1844,1527,1441,1556,1383,1786,1815,2190,2103,2075,1758,1383,1095,836,864,
"Jackson County, Illinois",2016,59188,29683,29505,3196,2900,2782,5031,10240,4972,3610,3078,2959,2782,3315,3433,3137,2545,1835,1243,1065,1125,
"Jasper County, Illinois",2016,9592,4776,4816,556,652,614,576,499,489,556,499,576,643,815,739,671,441,460,326,221,278,
"Woodford County, Illinois",2016,38523,19712,18811,2388,2388,2234,2196,2504,2311,2311,2465,2273,2697,2697,2620,2543,2119,1656,1387,925,770,
"Jersey County, Illinois",2016,22441,11007,11434,1100,1302,1504,1593,1504,1189,1234,1077,1548,1481,1795,1414,1728,1144,1032,763,606,404,
"Jo Daviess County, Illinois",2016,22186,11165,11021,954,1087,1464,1331,1087,954,998,954,1376,1309,1620,1553,2085,1908,1220,1021,577,688,
"Johnson County, Illinois",2016,12866,7322,5544,579,695,618,656,978,836,772,772,862,913,926,1042,759,823,669,463,232,270,
"Kane County, Illinois",2016,526615,261893,264722,35283,40023,42129,38970,33177,30544,34230,35810,37390,37916,37916,32124,28964,21591,15272,10532,7373,7373,
"Kankakee County, Illinois",2016,111493,54748,56745,6801,7693,7693,8139,8362,6690,6801,6913,6578,7136,7805,7805,6355,5463,3791,2899,2007,2453,
"Kendall County, Illinois",2016,121452,60053,61399,9109,10809,10445,8623,6316,7166,9473,10931,9595,8866,7894,6801,4858,3765,3036,2186,607,972,
"Knox County, Illinois",2016,51752,26180,25572,2691,2588,3209,3364,3830,2846,3002,3209,2691,3209,3519,3881,3571,3105,2381,1760,1449,1449,
"Lake County, Illinois",2016,702890,350890,352000,42173,49202,53420,56231,48499,37956,40065,42876,48499,52014,55528,49202,40768,29521,21087,14058,10543,11246,
"LaSalle County, Illinois",2016,111935,56200,55735,6156,6716,7276,7052,6940,6492,6940,6156,6716,7276,8843,8395,7500,5485,4813,3134,2798,3358,
"Spencer County, Kentucky",2016,16582,9285,7297,862,962,813,730,1144,1476,1376,995,995,1194,1194,1128,962,680,730,448,481,415,
"Lee County, Illinois",2016,34718,18344,16374,1840,2153,1771,1979,2153,2083,2118,2153,2014,2569,2743,2743,2396,1701,1562,1076,1007,694,
"Oconto County, Wisconsin",2016,37278,18946,18332,2050,2125,2460,2274,2274,2311,2423,2237,2088,2423,2908,2721,2460,1976,1379,1156,820,1118,
"Logan County, Illinois",2016,29820,15158,14662,1461,1610,1551,1998,2266,2058,2058,1908,1968,1938,2087,1908,1968,1491,1133,895,596,954,
"McDonough County, Illinois",2016,31727,15668,16059,1364,1491,1555,3395,5584,2157,1650,1396,1459,1428,1777,1713,1967,1523,1047,698,666,857,
"McHenry County, Illinois",2016,307083,152971,154112,17197,20882,23645,22724,18425,15661,17811,18732,22417,25181,26102,22417,18118,13819,9520,6449,3685,4299,
"McLean County, Illinois",2016,173254,84335,88919,10568,11262,10049,14900,22177,11435,11608,11262,9702,10222,11088,10049,9182,6584,4505,3292,2772,2772,
"Macon County, Illinois",2016,108404,51954,56450,6613,7155,6396,6938,7263,6504,6396,5854,6396,6396,7588,8239,7371,6179,4119,3469,2602,2927,
"Macoupin County, Illinois",2016,46482,22939,23543,2324,2742,3114,2928,2649,2510,2649,2649,2789,3021,3486,3672,3207,2835,1859,1487,1441,1069,
"Madison County, Illinois",2016,266759,130430,136329,15739,16539,17073,16539,17339,18673,17073,15739,16806,17606,19740,19740,16539,12804,10137,7469,5335,6135,
"Marion County, Illinois",2016,38503,18824,19679,2464,2618,2272,2233,2387,2233,2195,2195,2195,2387,2849,2811,2580,2079,1771,1425,693,1155,
"Cherokee County, Iowa",2016,12060,6008,6052,651,663,699,699,699,543,615,627,651,772,917,941,929,808,603,422,374,470,
"Mason County, Illinois",2016,13931,6921,7010,655,780,919,878,724,641,752,794,822,933,1128,1073,989,850,683,502,418,404,
"Massac County, Illinois",2016,14883,7055,7828,804,967,997,774,789,729,789,863,997,967,1072,1116,967,804,833,551,491,387,
"Blackford County, Indiana",2016,12576,6142,6434,692,792,855,792,641,604,667,893,604,880,994,1044,843,729,578,428,214,327,
"Mercer County, Illinois",2016,15971,7917,8054,815,974,1070,974,830,751,799,1038,799,1086,1262,1214,1150,942,862,543,463,431,
"Monroe County, Illinois",2016,33703,16535,17168,1685,1887,2764,2157,1685,1651,1921,2191,2056,2561,2831,2831,2090,1550,1281,1011,910,640,
"Montgomery County, Illinois",2016,29301,15308,13993,1465,1729,1641,1699,1817,1787,1934,1905,1612,1963,2227,2227,1846,1524,1201,1084,791,820,
"Morgan County, Illinois",2016,34801,17511,17290,1775,1844,2123,2506,2540,2158,2053,1914,2088,2088,2506,2471,2262,2018,1462,1009,835,1114,
"Moultrie County, Illinois",2016,14915,7246,7669,969,1029,1074,910,790,865,895,805,865,895,1044,1059,895,820,612,612,343,433,
"Ogle County, Illinois",2016,52034,25934,26100,2758,3486,3590,3382,2966,2706,2862,3174,3174,3642,4215,3851,3278,2810,2133,1613,1041,1301,
"Peoria County, Illinois",2016,186818,90575,96243,12890,12517,12143,12143,13077,13264,12704,11956,10649,11396,12143,12704,11396,8967,6539,5044,3363,4110,
"Perry County, Illinois",2016,21595,11698,9897,1037,1101,1339,1274,1598,1404,1296,1296,1533,1512,1598,1555,1317,1080,1015,583,497,561,
"Atchison County, Kansas",2016,16469,8145,8324,906,1054,1070,1054,807,807,939,906,1070,1070,1350,1318,1120,972,692,675,379,280,
"Pike County, Illinois",2016,16054,7999,8055,947,979,1044,947,947,915,883,851,979,1011,1092,1204,1044,899,738,594,417,530,
"Pope County, Illinois",2016,4255,2247,2008,200,221,196,183,196,217,191,187,221,251,306,370,396,298,366,174,153,128,
"Pulaski County, Illinois",2016,5792,2839,2953,301,301,492,376,272,295,301,400,226,313,446,504,405,423,232,151,209,151,
"Putnam County, Illinois",2016,5746,2912,2834,276,356,328,310,287,293,333,328,259,362,494,540,419,425,264,144,155,167,
"Randolph County, Illinois",2016,32934,18105,14829,1614,1778,1811,1746,2009,1943,2635,2240,1976,2338,2602,2272,2240,1581,1449,922,790,955,
"Richland County, Illinois",2016,16072,7913,8159,1045,1029,996,884,948,868,900,900,900,996,1173,1205,1029,804,755,611,450,579,
"Rock Island County, Illinois",2016,146536,72130,74406,9232,9232,8939,9232,9378,9085,9525,8646,8499,8939,9964,10697,9671,7913,6008,4396,3517,3810,
"St. Clair County, Illinois",2016,265569,128153,137416,16996,18059,18059,17262,17793,17528,17262,16996,16731,17793,19652,18855,16200,11154,9029,6108,5311,5046,
"Saline County, Illinois",2016,24659,12054,12605,1455,1406,1480,1578,1554,1504,1430,1258,1430,1652,1775,1603,1825,1430,1134,863,666,616,
"Sangamon County, Illinois",2016,198639,95430,103209,11720,12912,12912,12316,12316,12514,13110,11521,12713,13110,14898,14699,13110,10329,7151,5165,3973,4569,
"Charles City County, Virginia",2016,7205,3893,3312,303,339,447,389,346,353,389,375,605,555,591,526,584,411,331,274,187,209,
"Brule County, South Dakota",2016,5169,2523,2646,248,320,372,320,269,238,284,351,258,351,434,403,336,227,269,253,88,140,
"Shelby County, Illinois",2016,22011,10930,11081,1167,1431,1233,1409,1167,1145,1233,1189,1233,1453,1651,1651,1563,1475,968,682,616,770,
"Stark County, Illinois",2016,5840,2888,2952,298,380,310,374,304,245,269,274,362,368,409,415,432,415,315,193,199,286,
"Stephenson County, Illinois",2016,46283,22383,23900,2546,2731,2962,2638,2777,2314,2314,2268,2777,3008,3425,3332,3610,2870,2036,1990,1157,1527,
"Tazewell County, Illinois",2016,135400,66832,68568,8124,8801,8936,8124,7176,7853,9072,8395,9072,8801,9613,9884,8530,7447,5010,4062,3250,3250,
"Chickasaw County, Mississippi",2016,17458,8803,8655,960,1100,995,908,960,1082,960,1100,908,1135,1344,1379,1240,1117,768,663,349,489,
"Vermilion County, Illinois",2016,79613,39531,40082,5175,5493,5175,4936,4697,4856,4777,4458,4697,4856,5732,5812,5016,4299,3423,2150,2150,1911,
"West Carroll Parish, Louisiana",2016,11587,5649,5938,707,626,788,684,742,649,660,695,568,637,892,1020,718,626,475,394,255,440,
"Warren County, Illinois",2016,17611,8488,9123,1021,969,1198,1550,1321,881,933,933,1021,1074,1162,1338,986,969,775,616,458,405,
"Washington County, Illinois",2016,14369,7253,7116,718,977,790,862,762,833,819,877,862,920,1150,1236,891,718,647,503,302,489,
"Wayne County, Illinois",2016,16517,8183,8334,1024,958,1107,991,875,875,925,925,1041,1057,1156,1239,1074,991,776,496,446,578,
"White County, Illinois",2016,14410,7025,7385,865,879,879,764,735,793,836,778,735,879,1081,1138,893,764,821,504,447,591,
"Whiteside County, Illinois",2016,57155,28128,29027,3258,3429,3887,3658,3144,3201,3029,2972,3715,3658,4115,4344,3944,3372,2401,1943,1372,1715,
"Will County, Illinois",2016,685378,340422,344956,42493,51403,55516,52774,43179,37010,42493,46606,53459,54145,51403,43864,34954,26730,19876,12337,8910,8910,
"Williamson County, Illinois",2016,67336,33555,33781,3973,3703,4646,3636,4107,4310,4310,4175,4444,4377,4916,4646,4377,3703,3030,2020,1414,1549,
"Winnebago County, Illinois",2016,288896,141203,147693,18200,19356,19356,18778,18200,17912,17912,17045,18200,19067,21089,19934,18489,14445,10978,7511,6067,6067,
"Woodford County, Illinois",2016,39123,19428,19695,2347,2817,2856,2778,2347,1878,2191,2347,2230,2504,2973,3091,2387,1643,1682,1213,743,1135,
"Adams County, Indiana",2016,34813,17271,17542,3307,3377,2611,2437,2158,1915,2054,1880,1950,1984,2089,2019,1984,1567,1079,870,522,1010,
"Allen County, Indiana",2016,365565,178324,187241,26321,27052,26686,25224,24858,24858,24127,23396,22299,23031,24493,24127,20837,16085,10967,8042,5849,6580,
"Bartholomew County, Indiana",2016,80203,40059,40144,5374,5855,5053,4812,4973,5775,5293,4973,5534,5374,5293,5213,4652,4010,2968,2165,1524,1363,
"Oscoda County, Michigan",2016,8709,4341,4368,540,644,653,557,488,462,505,435,557,592,671,653,531,418,392,279,157,174,
"Jefferson Davis County, Mississippi",2016,12364,6135,6229,668,853,680,779,680,692,643,593,804,791,915,903,915,791,581,507,284,284,
"Boone County, Indiana",2016,61884,30594,31290,4084,4579,5322,4146,3032,3342,3651,3713,4889,4765,4951,4332,3342,2104,2352,1114,1238,990,
"Kingfisher County, Oklahoma",2016,14965,7470,7495,584,913,823,1003,629,599,688,733,883,1018,1182,1511,1272,1287,778,449,329,314,
"Allen County, Kentucky",2016,20007,9959,10048,1060,1340,1380,1360,1020,1000,1040,1180,1360,1240,1541,1521,1420,1120,920,760,340,420,
"Cass County, Indiana",2016,38324,19227,19097,2376,2376,2721,2644,2338,2108,2184,2146,2644,2606,2759,2759,2414,1955,1380,1150,805,881,
"Clark County, Indiana",2016,113993,55492,58501,7296,7068,7524,6840,6840,7866,7980,7524,8094,7638,7980,7752,7410,5472,4218,2394,2052,1938,
"Lauderdale County, Tennessee",2016,26568,12983,13585,1594,1939,1594,1674,1514,1674,1541,1621,1621,1753,1939,1647,2072,1355,1063,664,638,664,
"Clinton County, Indiana",2016,32692,16148,16544,2190,2550,2419,2125,1962,1863,1929,1863,2158,1962,2256,2321,1929,1537,1144,948,752,752,
"Crawford County, Indiana",2016,10582,5358,5224,593,698,667,646,561,561,582,603,646,709,836,910,741,688,444,275,233,180,
"Daviess County, Indiana",2016,32583,16423,16160,2737,2998,2313,2281,2183,2053,1857,1727,1792,1857,2183,2118,1727,1531,1140,782,554,749,
"Dearborn County, Indiana",2016,49552,24770,24782,2676,3171,3518,3419,2775,2577,2824,2329,3816,3667,4014,4113,3171,2676,1784,1239,941,842,
"Decatur County, Indiana",2016,26340,13033,13307,1607,1923,1817,1791,1501,1554,1580,1633,1554,1738,2002,1738,1738,1370,896,896,527,474,
"DeKalb County, Indiana",2016,42489,21142,21347,2592,2932,3187,2974,2549,2507,2464,2719,2507,2847,3314,3187,2507,2167,1487,1105,807,680,
"Delaware County, Indiana",2016,116463,56004,60459,5940,6056,5940,10715,16654,6755,5823,5474,6638,6755,7337,6988,6522,5590,4775,3610,2213,2562,
"Dubois County, Indiana",2016,42345,21183,21162,2625,2668,3049,3091,2371,2244,2456,2160,2879,2837,3472,2837,2964,2075,1609,1228,889,1016,
"Elkhart County, Indiana",2016,201640,99741,101899,15325,15930,15930,14115,13107,12703,12905,12905,12300,12703,13308,12502,11090,8671,6251,4436,3428,4033,
"Rowan County, Kentucky",2016,23608,11644,11964,1180,1393,1723,1487,1369,1228,1228,1464,1487,1558,1653,1794,1653,1322,1133,755,496,661,
"Floyd County, Indiana",2016,76290,36917,39373,4577,4806,5188,5035,4883,4425,4883,4425,5264,5340,5874,5569,5111,3433,3052,1907,1144,1526,
"Fountain County, Indiana",2016,16741,8409,8332,971,1038,1038,1205,937,837,954,904,1071,1105,1256,1105,1138,1004,720,670,402,385,
"Franklin County, Indiana",2016,22887,11456,11431,1259,1419,1854,1579,1236,1099,1259,1190,1625,1625,1762,1739,1579,1327,732,572,458,526,
"Fulton County, Indiana",2016,20412,10089,10323,1245,1551,1266,1286,1061,1123,1143,1184,1306,1266,1510,1306,1551,1266,755,674,449,449,
"Gibson County, Indiana",2016,33684,16846,16838,2088,2257,2223,2189,2088,1920,2021,1954,2055,2189,2459,2695,2021,1819,1213,1078,741,674,
"Grant County, Indiana",2016,68269,32725,35544,3755,4096,3891,5393,6417,3482,3413,3823,3687,4096,4779,4779,4506,3618,3004,1980,1638,1843,
"Greene County, Indiana",2016,32633,16217,16416,1730,2056,2186,2121,1795,1730,1860,1730,2154,2317,2513,2317,2252,1860,1534,881,946,718,
"Hamilton County, Indiana",2016,303042,148054,154988,21213,25456,25152,21516,14546,16061,21213,22728,24243,23637,22122,18183,15152,11819,7576,4849,3940,3940,
"Hancock County, Indiana",2016,71955,35160,36795,4029,5037,5109,5109,4029,3886,4173,4893,4605,5541,5612,4893,4461,4101,2303,1871,1151,1151,
"Scott County, Missouri",2016,39370,19678,19692,2283,2165,2795,2520,2126,2165,2402,2283,2480,2913,3268,2953,2638,2165,1654,1024,827,709,
"Hendricks County, Indiana",2016,155817,77782,78035,9661,10907,12621,11063,8882,8414,10596,11219,11842,11530,11219,10284,8258,6544,4830,3428,2181,2337,
"Henry County, Indiana",2016,48953,25487,23466,2399,2790,3084,3035,3035,2790,2839,2692,3525,3574,3671,3427,3280,2937,2056,1469,1224,1077,
"Howard County, Indiana",2016,82728,40000,42728,4964,5129,5543,5046,4881,4881,4881,4715,4964,5212,6287,5874,5543,4881,3392,2399,2068,2068,
"Huntington County, Indiana",2016,36696,18039,18657,2055,2202,2385,2605,2569,2275,2128,2092,2312,2349,2862,2936,2128,1908,1248,1174,734,734,
"Ohio County, West Virginia",2016,43637,21674,21963,2924,2836,3186,2662,2487,2575,2836,3316,2575,2836,3186,2967,2575,2007,1745,1222,916,785,
"Jasper County, Indiana",2016,33461,16556,16905,2008,2677,2041,2342,2175,1773,2075,1974,2108,2108,2443,2510,1974,1807,1238,903,703,535,
"Jay County, Indiana",2016,21196,10402,10794,1526,1378,1632,1441,1272,1166,1229,1039,1399,1378,1484,1251,1463,1102,911,593,530,403,
"Jefferson County, Indiana",2016,32482,15443,17039,1787,1949,1819,2469,2501,1754,1916,1851,2176,2144,2436,2469,2046,1949,1104,812,747,585,
"Jennings County, Indiana",2016,28023,14126,13897,1709,2074,1681,2046,1793,1513,1485,1821,1850,2074,2186,1962,1681,1373,1205,729,476,392,
"Johnson County, Indiana",2016,147567,72527,75040,9592,11215,10035,10035,9002,9297,9592,10330,10182,10182,10182,9149,8411,6641,5312,3542,2066,2656,
"Knox County, Indiana",2016,37956,19294,18662,2201,2239,2126,3416,3188,2163,2277,2012,2088,2277,2657,2695,2315,2012,1404,1215,911,759,
"Kosciusko County, Indiana",2016,78461,38893,39568,5100,5492,5257,5649,5257,4943,4943,4472,4629,4943,5492,5728,4708,3923,2903,2197,1569,1098,
"LaGrange County, Indiana",2016,38395,19459,18936,3648,3648,3571,3072,2496,2227,2227,1920,2342,2035,2227,1881,2265,1766,1113,845,499,614,
"Lake County, Indiana",2016,489698,236906,252792,30851,34279,33789,33789,31830,28892,31341,30851,30361,31341,35258,35748,30361,23506,16650,12242,9304,9794,
"LaPorte County, Indiana",2016,110993,57380,53613,6660,6549,6882,6882,6993,7104,7326,7104,6882,7548,8102,8102,7437,6438,3774,2997,2109,2109,
"Lawrence County, Indiana",2016,45696,22624,23072,2468,2970,2833,2970,2468,2468,2559,2650,2970,3107,3427,3382,3153,2605,2148,1462,1097,914,
"Madison County, Indiana",2016,129862,64976,64886,7532,7792,8311,8311,8181,8051,8181,8571,8051,8701,9220,8831,8051,7142,5324,3896,2857,2727,
"Marion County, Indiana",2016,932142,448928,483214,69911,64318,62454,58725,68979,81096,72707,61521,57793,57793,62454,59657,49404,35421,24236,17711,13982,13982,
"Marshall County, Indiana",2016,46833,23262,23571,2904,3419,3372,3466,2810,2435,2623,2435,3044,3138,3419,3138,3044,2435,1733,1264,983,1218,
"Martin County, Indiana",2016,10218,5114,5104,654,511,736,644,542,531,562,511,715,685,838,920,634,552,460,347,184,194,
"Miami County, Indiana",2016,36093,19190,16903,1877,2238,2382,2274,2563,2310,2274,2202,2418,2454,2635,2743,1985,1913,1444,938,758,686,
"Monroe County, Indiana",2016,143292,71286,72006,6448,6448,6305,15619,27799,11893,9027,7738,6878,7021,7451,7881,6735,5445,3869,2579,2293,2006,
"Montgomery County, Indiana",2016,38108,19274,18834,2325,2286,2668,2629,2668,2096,2134,2096,2325,2591,2782,2858,2210,1982,1562,1181,915,800,
"Morgan County, Indiana",2016,69504,34395,35109,3892,4726,4796,4587,4101,3684,3892,3962,4587,5213,5630,5213,4657,3614,2780,1877,1182,1043,
"Newton County, Indiana",2016,14022,7075,6947,701,841,996,855,799,799,799,631,1038,883,1094,1206,925,883,575,491,238,280,
"Beaufort County, North Carolina",2016,47587,23839,23748,3093,3188,3759,3331,2855,2760,2808,3188,2903,3141,3474,3188,3141,2284,1761,1142,761,904,
"Ohio County, Indiana",2016,6003,3003,3000,288,390,342,354,240,312,330,330,354,402,546,540,402,450,258,234,120,102,
"Orange County, Indiana",2016,19579,9696,9883,1155,1155,1449,1371,1077,1077,1057,1175,1116,1292,1468,1743,1018,1175,822,685,372,352,
"Winneshiek County, Iowa",2016,21038,10665,10373,1136,1241,1304,1346,1094,1115,1073,1220,1178,1515,1893,1725,1578,1346,968,631,358,337,
"Jasper County, Mississippi",2016,17033,8089,8944,988,971,1039,971,1039,1124,1056,971,1107,1124,1295,1329,1107,971,766,579,324,273,
"Perry County, Indiana",2016,19301,10316,8985,1081,1139,1197,1004,1293,1235,1274,1197,1255,1255,1448,1409,1312,1119,676,405,444,579,
"Yalobusha County, Mississippi",2016,12554,6277,6277,716,854,741,791,640,628,665,665,841,841,967,1067,778,678,640,502,264,264,
"Porter County, Indiana",2016,167016,82416,84600,9353,10522,11357,11691,11190,9854,10522,10689,11023,11190,12192,12359,11190,8518,5846,4008,3006,2839,
"Marion County, Mississippi",2016,25527,12774,12753,1481,1506,1710,1634,1506,1378,1404,1251,1736,1685,2068,2144,1838,1404,970,944,434,408,
"Pulaski County, Indiana",2016,12910,6544,6366,697,697,1033,852,697,671,684,917,620,839,981,968,917,723,594,426,349,245,
"Webster County, Iowa",2016,37626,19799,17827,1806,1844,2258,3123,3725,2258,2182,2408,2069,2559,2897,2709,2107,1881,1242,1392,527,602,
"Randolph County, Indiana",2016,25403,12346,13057,1524,1423,1854,1778,1372,1346,1321,1524,1524,1651,1905,1804,1651,1372,1194,965,508,686,
"Ripley County, Indiana",2016,28633,14138,14495,1718,2119,1747,1976,1661,1518,1632,1632,1775,1976,2176,2147,1661,1489,1260,945,630,544,
"Rush County, Indiana",2016,16873,8272,8601,911,1029,1198,1181,962,928,894,1097,911,1164,1316,1316,1046,894,726,557,371,388,
"St. Joseph County, Indiana",2016,267696,129850,137846,17400,17400,18471,20345,20613,17668,16865,15526,16062,16329,17668,17400,16865,12046,8566,6157,5622,5889,
"Caswell County, North Carolina",2016,23734,11672,12062,1377,1068,1970,1543,1472,1377,1377,1424,1638,1685,1828,1685,1519,1543,783,688,332,451,
